Table 1
xacc,yacc,zacc,xrad,yrad,zrad
1.37,0.49,9.59,0.01,-0.1,-0.28
0.26,0.12,9.76,-0.04,-0.02,-0.02
0.21,0.09,9.68,-0.04,-0.03,-0.03
0.24,0.07,9.69,-0.04,-0.02,-0.02
0.24,0.1,9.73,-0.04,-0.02,-0.02
0.05,-3.6,9.76,-0.09,0.01,-0.36
-0.53,0.14,9.7,-0.03,-0.19,0.06
0.25,0.08,9.76,-0.04,-0.02,-0.02
0.24,0.09,9.75,-0.04,-0.02,-0.02
-0.15,2.82,9.76,-0.05,-0.02,-0.05
0.25,0.11,9.76,-0.04,-0.02,-0.02
0.24,0.08,9.74,-0.04,-0.02,-0.02
0.24,0.12,9.73,-0.04,-0.02,-0.02
0.21,2.07,9.75,-0.07,0.03,0.85
0.25,0.07,9.76,-0.04,-0.03,-0.02
0.24,0.11,9.75,-0.04,-0.03,-0.02
0.24,0.15,9.78,-0.03,-0.03,-0.06
0.27,-0.09,9.69,-0.06,-0.02,-0.16
0.24,0.09,9.74,-0.04,-0.02,-0.02
0.23,0.13,9.75,-0.04,-0.03,-0.02
0.23,0.1,9.74,-0.04,-0.03,-0.02
0.38,0.53,9.72,-0.07,0.03,0.04
0.3,1.81,9.75,-0.03,-0.03,0.04
0.25,0.07,9.73,-0.04,-0.03,-0.02
0.22,0.09,9.77,-0.04,-0.02,-0.02
0.13,0.2,9.69,-0.03,0,0.17
0.25,0.1,9.75,-0.04,-0.03,-0.02
0.24,0.1,9.73,-0.04,-0.03,-0.02
0.03,-0.03,9.31,0.4,-0.01,0.58
-0.36,0.15,9.66,-0.07,-0.07,-0.08
0.62,-1,10.12,0,-0.2,-0.31
-0.21,-0.07,10.45,0.08,-0.11,-0.46
0.29,0.27,9.74,-0.22,-0.05,0
-1.07,-3.87,8.61,-1.39,0.52,0.03
-2.72,-7.54,5.48,-0.66,0.14,-0.11
-4.87,-8.62,2.03,0.03,-0.18,-0.12
-6.46,-7,0.57,0.03,-0.18,-0.12
-7.95,-5.13,2.4,0.03,-0.18,-0.12
-4.86,-0.96,8.33,0.04,-0.12,-0.04
-1.62,-2.9,8.84,-0.67,-0.38,-0.6
1.31,-3.16,9.14,-0.03,-0.1,-0.5
1.13,-7.5,5.7,0.02,0.13,-0.08
-0.64,-9.54,1.01,-0.06,0.47,0.23
-4.52,-9.51,-2.34,0.02,-0.15,-0.53
-3.41,-8.39,-3.48,-0.25,-0.2,-0.19
-3.27,-8.11,-4.42,-0.01,-0.31,-0.04
-3.12,-8.24,-3.96,-0.07,0,-0.04
-3.81,-8.76,-2.47,0.18,-0.1,0.15
-3.71,-8.59,-3,-0.23,0.04,-0.06
-3.79,-8.55,-2.91,-0.02,-0.05,-0.02
